Variable name,Definition of the variable,Settings and their definitions
setting,Setting of data collection:,"1, Cruise ship"
,,"2, Hospital"
,,"3, Traveler/evacuee from an affected area"
,,"6, Contact tracing"
,,"7, Health care worker"
,,"9, Family cluster"
,,"88, Other"
setting 2,"Setting 2 [used in Q1, Q2 analysis]","1, 1. Contact investigation"
,,"2, 2. Contact investigation, aggregated"
,,"3, 3. Outbreak investigation"
,,"4, 4. Statistical model"
,,"5, 5. Screening"
,,"6, 6. Hospitalised adults"
,,"7, 7. Hospitalised children"
,,"8, 8. Hospitalised children and adults"
,,"9, 9. Screening: institutional setting"
,,"10, 10. Screening: community setting"
,,"11, 11. Screening: occupational"
q1_nclus,Number of clusters described:,"1, One cluster"
,,"2, Two clusters"
q1_c1_event,Number of individuals that were asymptomatic throughout infection:,-           
q1_c1_total,Total number of individuals (denominator):,-
q1_c2_event,Number of individuals that were asymptomatic throughout infection [cluster2]:,-
q1_c2_total,Total number of individuals (denominator) [cluster2]:,-
q1_c3_event,Number of individuals that were asymptomatic throughout infection [cluster3]:,-
q1_c3_total,Total number of individuals (denominator) [cluster3]:,-
comment_q1,Comments:,-
source,Source:,"1, MedRxiv"
,,"2, BioRxiv"
,,"3, EMBASE"
,,"4, PubMed"
,,"5, Other"
year,Publication year:,-           
country,Country:,"1, Afghanistan"
,,"2, Albania"
,,"3, Algeria"
,,"4, Andorra"
,,"5, Angola"
,,"6, Antigua and Barbuda"
,,"7, Argentina"
,,"8, Armenia"
,,"9, Aruba"
,,"10, Australia"
,,"11, Austria"
,,"12, Azawad"
,,"13, Azerbaijan"
,,"14, Bahamas"
,,"15, Bahrain"
,,"16, Bangladesh"
,,"17, Barbados"
,,"18, Belarus"
,,"19, Belgium"
,,"20, Belize"
,,"21, Benin"
,,"22, Bermuda"
,,"23, Bhutan"
,,"24, Bolivia"
,,"25, Bosnia and Herzegovina"
,,"26, Botswana"
,,"27, Brazil"
,,"28, Brunei"
,,"29, Bulgaria"
,,"30, Burkina Faso"
,,"31, Burundi"
,,"32, Cambodia"
,,"33, Cameroon"
,,"34, Canada"
,,"35, Cape Verde"
,,"36, Central African Republic"
,,"37, Chad"
,,"38, Chechnya"
,,"39, Chile"
,,"40, China"
,,"41, Colombia"
,,"42, Comoros"
,,"43, Congo"
,,"44, Costa Rica"
,,"45, Côte d'Ivoire"
,,"46, Croatia"
,,"47, Cuba"
,,"48, Curaçao"
,,"49, Cyprus"
,,"50, Czechoslovakia,"
,,"51, Denmark"
,,"52, Dominican Republic"
,,"53, Ecuador"
,,"54, Egypt"
,,"55, El Salvador"
,,"56, Equatorial Guinea"
,,"57, Eritrea"
,,"58, Estonia"
,,"59, Ethiopia"
,,"60, Fiji"
,,"61, Finland"
,,"62, France"
,,"63, French Guyana"
,,"64, Gabon"
,,"65, Gambia"
,,"66, Georgia"
