"record_id","author_1","title","doi","q3_pa_m","q3_pa_l","q3_pa_u","q3_pp_m","q3_pp_l","q3_pp_u","question_3_complete","q3_setting","year","source","journal"
88,"Ferretti L","Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing.","10.1126/science.abb6936","0.06","0","0.57","0.47","0.11","0.58",2,NA,2020,1,"Science"
183,"Zhang W","Estimating the presymptomatic transmission of COVID19 using incubation period and serial interval data","10.1101/2020.04.02.20051318","9999","9999","9999","0.197;0.797","9999;9999","9999;9999",2,"Early Transmission;Imported Cases",2020,1,"MedRxiv"
279,"He X","Temporal dynamics in viral shedding and transmissibility of COVID-19.","10.1038/s41591-020-0869-5","9999","9999","9999","0.44","0.25","0.69",2,NA,2020,4,"Nat Med"
798,"Peak CM","Individual quarantine versus active monitoring of contacts for the mitigation of COVID-19: a modelling study.","10.1016/S1473-3099(20)30361-3",NA,NA,NA,"0.205;0.00065","0;0","0.914;0.0088",2,"Short SI;Long SI",2020,4,"Lancet Infect Dis"
1271,"Tindale LC","Evidence for transmission of COVID-19 prior to symptom onset.","10.7554/eLife.57149",NA,NA,NA,"0.74;0.81","9999;9999","9999;9999",2,"Singapore;Tianjin",2020,4,"Elife"
1508,"Moghadas SM","The implications of silent transmission for the control of COVID-19 outbreaks.","10.1073/pnas.2008373117","0.034;0.066","9999;9999","9999;9999","0.48;0.47","9999;9999","9999;9999",2,"17.9% asymptomatic;30.8% asymptomatic",2020,4,"Proc. Natl. Acad. Sci. U.S.A."
2001,"Ren X","Evidence for pre-symptomatic transmission of coronavirus disease 2019 (COVID-19) in China.","10.1111/irv.12787",NA,NA,NA,"0.4",NA,NA,2,"Throughout China outside Hubei",2020,4,"Influenza Other Respir Viruses"
2034,"Chun JY","Transmission onset distribution of COVID-19.","10.1016/j.ijid.2020.07.075","9999","9999","9999","0.37","0.16","0.52",2,"Government data,  linked  clusters  such as religious groups, hospitals, or long-term healthcare facilities in South Korea",2020,4,"Int. J. Infect. Dis."
2325,"Emery JC","The contribution of asymptomatic SARS-CoV-2 infections to transmission on the Diamond Princess cruise ship.","10.7554/eLife.58699","0.69","0.20","0.85","9999","9999","9999",2,"Diamond Princess Cruiseship",2020,4,"Elife"
7030,"Bushman M","Transmission of SARS-CoV-2 before and after symptom onset: impact of nonpharmaceutical interventions in China.","10.1007/s10654-021-00746-4",NA,NA,NA,"0.344","0.283","0.413",2,"China, surveillance data",2021,4,"Eur J Epidemiol"
7358,"Tan J","Transmission roles of symptomatic and asymptomatic COVID-19 cases: a modeling study","10.1101/2021.05.11.21257060","12.86%","7.77%","16.03%",NA,NA,NA,2,NA,2021,1,"MedRxiv"
9484,"Sun K","Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2","10.1126/science.abe2424",NA,NA,NA,"0.53",NA,NA,2,NA,2020,4,"Science"
