Study,Location,WHO_region,Total_SARS_CoV_2,Asymp_SARS_CoV_2,Asymp_sex,Asymp_age,Study_age_range,Follow_14days_exposure,Follow_7days_diagnosis,Follow_more7days_diagnosis,Follow_untilnegPCR,Pub_period,Setting
"Hijnen D, 2020 ","Germany, Munich",Europe,11,1,"0 F, 1 M",49,Adults (18 - 65 years),1,1,0,0,Jan 20 - Jun 2020,Contact investigations
"Zhang W, 2020 ","China, Guangzhou",Western Pacific,12,4,NR,NR,All ages,1,1,1,0,Jan 20 - Jun 2020,Contact investigations
"Cheng HY, 2020 ","Other, Taiwan",Western Pacific,22,4,NR,NR,All ages,1,0,0,0,Jan 20 - Jun 2020,Contact investigations
"Brandstetter S, 2020 ","Germany, Regensburg",Europe,36,2,NR,NR,Adults (18 - 65 years),0,1,0,1,Jan 20 - Jun 2020,Contact investigations
"Yousaf AR, 2020 ","United States of America, Utah",Americas,47,0,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Contact investigations
"Wu J, 2020 ","China, Zhuhai",Western Pacific,48,5,NR,NR,All ages,1,1,0,1,Jan 20 - Jun 2020,Contact investigations
"Xie W, 2021 ","China, Beijing",Western Pacific,53,4,NR,NR,Adults (18 - 65 years),0,1,0,0,Jan 21 onward,Contact investigations
"Gettings JR, 2021 ","United States of America, Georgia",Americas,55,31,NR,NR,All ages,1,1,0,1,Jan 21 onward,Contact investigations
"Jones A, 2021","United States of America, Vermont",Americas,87,24,NR,NR,NR,1,1,0,0,Jan 21 onward,Contact investigations
"Grijalva CG, 2020 ","United States of America, Tennessee and Wisconsin",Americas,102,34,NR,NR,All ages,0,1,0,0,Jul 20 - Dec 2020,Contact investigations
"Luo L2, 2020 ","China, Guangzhou",Western Pacific,127,8,NR,NR,All ages,1,0,0,1,Jul 20 - Dec 2020,Contact investigations
"Shi Q, 2020 ","China, Wanzhou District",Western Pacific,183,60,NR,NR,NR,0,0,1,0,Jul 20 - Dec 2020,Contact investigations
"Hurst JH, 2020 ","United States of America, North Carolina",Americas,293,87,NR,NR,Children (< 18 years),0,1,0,0,Jul 20 - Dec 2020,Contact investigations
"Pirnay JP, 2020 ",Belgium,Europe,4,2,"0 F, 2 M",28.5,Adults (18 - 65 years),1,0,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Cardillo L, 2021 ","Italy, Campania",Europe,4,2,"11 F, 9 M",78,All ages,0,0,0,1,Jan 21 onward,Outbreak investigations
"Garibaldi PMM, 2021 ","Brazil, Sao Paulo State",Americas,8,0,NR,NR,Older adults (>65 years),1,1,0,1,Jan 21 onward,Outbreak investigations
"Corcorran MA, 2020 ","United States of America, Washington",Americas,8,3,NR,NR,All ages,0,1,1,0,Jul 20 - Dec 2020,Outbreak investigations
"Yang N, 2020 ","China, Xiaoshan",Western Pacific,10,2,"1 F, 1 M",26,Adults (18 - 65 years),1,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Schwierzeck V, 2020 ","Germany, Muenster",Europe,11,2,NR,NR,Children (< 18 years),0,1,0,0,Jan 20 - Jun 2020,Outbreak investigations
"Danis K, 2020 ",France,Europe,12,1,NR,NR,All ages,1,1,0,1,Jan 20 - Jun 2020,Outbreak investigations
"Garibaldi PMM, 2021 ","Brazil, Sao Paulo State",Americas,12,1,NR,NR,Older adults (>65 years),1,1,0,1,Jan 21 onward,Outbreak investigations
"Romao VC, 2020 ","Portugal, Lisbon",Europe,14,0,NR,NR,Adults (18 - 65 years),0,0,1,0,Jul 20 - Dec 2020,Outbreak investigations
"Orsi A, 2021 ","Italy, Genoa",Europe,14,13,"9 F, 4 M",91,Older adults (>65 years),1,0,0,1,Jan 21 onward,Outbreak investigations
"Böhmer MM, 2020 ","Germany, Bavaria",Europe,16,1,NR,NR,All ages,1,1,0,0,Jan 20 - Jun 2020,Outbreak investigations
"Dora AV, 2020 ","United States of America, Los Angeles",Americas,16,6,"0 F, 6 M",75,Older adults (>65 years),0,0,1,0,Jan 20 - Jun 2020,Outbreak investigations
"Yau K, 2020 ","Canada, Toronto",Americas,20,7,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Redditt V, 2020 ","Canada, Toronto",Americas,24,3,NR,NR,Adults (18 - 65 years),0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Tian S, 2021 ","China, Shandong",Western Pacific,24,7,NR,NR,Adults (18 - 65 years),0,1,1,0,Jan 21 onward,Outbreak investigations
"Harada S, 2020 ","Japan, Tokyo",Western Pacific,24,8,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Park JH, 2020 ",South Korea,SE Asia,28,4,NR,NR,Adults (18 - 65 years),1,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Patel MC, 2020 ","United States of America, Illinois",Americas,35,13,NR,NR,Older adults (>65 years),0,1,0,1,Jan 20 - Jun 2020,Outbreak investigations
"Kittang BR, 2020 ","Norway, Bergen",Europe,40,0,NR,NR,Older adults (>65 years),1,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Pavli A, 2020 ",Greece,Europe,46,7,NR,NR,All ages,1,1,0,0,Jan 20 - Jun 2020,Outbreak investigations
"Arons MM, 2020 ","United States of America, Seattle, WA",Americas,47,3,NR,NR,Older adults (>65 years),0,1,0,0,Jan 20 - Jun 2020,Outbreak investigations
"Harada S, 2020 ","Japan, Tokyo",Western Pacific,49,25,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Ladhani SN, 2020 ","United Kingdom, London",Europe,53,26,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"van den Besselaar JH, 2021 ","Netherlands, South Holland",Europe,54,1,NR,NR,All ages,0,1,0,1,Jan 21 onward,Outbreak investigations
"Schmitt J, 2021 ",Côte d'Ivoire,Africa,54,18,NR,NR,Adults (18 - 65 years),1,1,0,1,Jan 21 onward,Outbreak investigations
"Plucinski MM, 2020 ",Japan,Western Pacific,66,14,NR,NR,All ages,0,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Njuguna H, 2020 ","United States of America, Louisiana",Americas,71,29,NR,NR,Adults (18 - 65 years),1,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Cardillo L, 2021 ","Italy, Campania",Europe,91,20,"11 F, 9 M",78,All ages,0,0,0,1,Jan 21 onward,Outbreak investigations
"Park SY, 2020 ","South Korea, Seoul",SE Asia,95,4,NR,NR,All ages,0,1,0,1,Jan 20 - Jun 2020,Outbreak investigations
"Taylor J, 2020 ","United States of America, Minnesota",Americas,99,9,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Ladhani SN, 2020 ","United Kingdom, London",Europe,105,46,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Paleker M, 2021 ",South Africa,Africa,112,41,NR,NR,All ages,0,0,0,1,Jan 21 onward,Outbreak investigations
"van den Besselaar JH, 2021 ","Netherlands, South Holland",Europe,113,7,NR,NR,All ages,0,1,0,1,Jan 21 onward,Outbreak investigations
"Graham N, 2020 ","United Kingdom, London",Europe,126,46,NR,NR,Older adults (>65 years),0,1,0,0,Jan 20 - Jun 2020,Outbreak investigations
"Taylor J, 2020 ","United States of America, Minnesota",Americas,127,7,NR,NR,All ages,0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Pham QT, 2020 ",Vietnam,Western Pacific,208,89,NR,31,Adults (18 - 65 years),0,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Kennelly SP, 2020 ",Ireland,Europe,395,97,NR,NR,NR,0,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Lee JY, 2020 ","South Korea, Daegu",SE Asia,694,80,NR,NR,All ages,0,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Kennelly SP, 2020 ",Ireland,Europe,710,193,NR,NR,NR,0,1,0,0,Jul 20 - Dec 2020,Outbreak investigations
"Kasper MR, 2020 ",United States of America,Americas,1271,572,NR,NR,Adults (18 - 65 years),0,1,0,1,Jul 20 - Dec 2020,Outbreak investigations
"Hoehl S, 2020 ","Germany, Germersheim",Europe,2,1,"0 F, 1 M",58,NR,0,1,0,0,Jan 20 - Jun 2020,Screening in community settings
"Chang L, 2020 ","China, Wuhan",Western Pacific,4,2,"0 F, 2 M",45,Adults (18 - 65 years),0,1,1,0,Jan 20 - Jun 2020,Screening in community settings
"Rauch JN, 2021 ","United States of America, California",Americas,6,2,NR,NR,Adults (18 - 65 years),0,1,0,1,Jan 21 onward,Screening in community settings
"AbdulRahman A, 2020 ",Bahrain,East Med,6,3,"0 F, 3 M",25,Adults (18 - 65 years),0,1,1,0,Jul 20 - Dec 2020,Screening in community settings
"Theuring S, 2021 ","Germany, Berlin",Europe,10,2,NR,NR,All ages,0,1,0,1,Jan 21 onward,Screening in community settings
"Kutsuna S, 2020 ","Japan, Tokyo",Western Pacific,11,3,"1 F, 2 M",NR,Adults (18 - 65 years),0,1,1,0,Jul 20 - Dec 2020,Screening in community settings
"Theuring S, 2021 ","Germany, Berlin",Europe,14,0,NR,NR,All ages,0,1,0,1,Jan 21 onward,Screening in community settings
"Hwang, 2021 ",United States of America,Americas,14,8,NR,NR,NR,0,1,0,1,Jan 21 onward,Screening in community settings
"Edelstein M, 2020 ","United Kingdom, London",Europe,20,4,NR,NR,All ages,0,0,1,1,Jul 20 - Dec 2020,Screening in community settings
